"gbif_id";"iucn_id";"cites_id";"nombre_cientifico";"nombre_cientifico2";"reino";"filo";"clase";"orden";"familia";"genero";"TIPO";"NOMBRE.EN.ESPAÑOL";"NACIONAL";"STATUS";"iucn_status";"cites_status"
12194050;NA;NA;"Cinnagrostis curvula";"Cinnagrostis curvula (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;"Nativa";NA;NA
12236372;NA;NA;"Cinnagrostis filifolia";"Cinnagrostis filifolia (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;NA;NA;NA
12242948;NA;NA;"Cinnagrostis heterophylla";"Cinnagrostis heterophylla (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;NA;NA;NA
12204055;NA;NA;"Cinnagrostis intermedia";"Cinnagrostis intermedia (J.Presl) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;NA;NA;NA
12182089;NA;NA;"Cinnagrostis jamesonii";"Cinnagrostis jamesonii (Steud.) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;"Nativa";NA;NA
12260217;NA;NA;"Cinnagrostis lagurus";"Cinnagrostis lagurus (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;NA;NA;NA
12171247;NA;NA;"Cinnagrostis minima";"Cinnagrostis minima (Pilg.) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;NA;NA;NA
12193367;NA;NA;"Cinnagrostis nitidula";"Cinnagrostis nitidula (Pilg.) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;NA;NA;NA
12241950;NA;NA;"Cinnagrostis rigescens";"Cinnagrostis rigescens (J.Presl) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;"Nativa";NA;NA
12198486;NA;NA;"Cinnagrostis rigida";"Cinnagrostis rigida (Kunth) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;NA;NA;NA
12233895;NA;NA;"Cinnagrostis vicunarum";"Cinnagrostis vicunarum (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Cinnagrostis";"Flora";NA;NA;"Nativa";NA;NA
