"ESPECIES";"INSTITUCIÓN";"AÑO";"AUTOR";"TÍTULO"
"Metallura phoebe";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Metallura phoebe";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"AVIFAUNA DEL BOSQUE DE QUEÑUA (Polylepis sp) DE CANDARAVE, REGIÓN TACNA, 2008-2009."
"Myrtis fanny";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Myrtis fanny";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Myrtis fanny";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2013;"Horacio Zeballos Patrón.";"ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO."
"Oreotrochilus estella";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Oreotrochilus estella";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"AVIFAUNA DEL BOSQUE DE QUEÑUA (Polylepis sp) DE CANDARAVE, REGIÓN TACNA, 2008-2009."
"Patagona gigas";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Patagona gigas";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"AVIFAUNA DEL BOSQUE DE QUEÑUA (Polylepis sp) DE CANDARAVE, REGIÓN TACNA, 2008-2009."
"Rhodopis vesper";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Rhodopis vesper";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Rhodopis vesper";"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN";2014;"Romina Venturia Candia.";"Diversidad y Habitat de la comunidad Ornitológica de la Quebrad de Tacahuay de la Región Tacna"
"Rhodopis vesper";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA COMPOSICIÓN Y DENSIDAD DE AVES EN MONTES RIBEREÑOS DE LA REGIÓN TACNA 2009."
"Rhodopis vesper";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2014;"Jhonson Vizcarra Romero.";"EVALUACIÓN DE AVES SILVESTRES EN LOS VALLES DE LOCUMBA Y SAMA."
"Rhodopis vesper";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2013;"Horacio Zeballos Patrón.";"ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO."
"Thaumastura cora";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Thaumastura cora";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Thaumastura cora";"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN";2014;"Romina Venturia Candia.";"Diversidad y Habitat de la comunidad Ornitológica de la Quebrad de Tacahuay de la Región Tacna"
"Thaumastura cora";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA COMPOSICIÓN Y DENSIDAD DE AVES EN MONTES RIBEREÑOS DE LA REGIÓN TACNA 2009."
"Chordeiles acutipennis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA COMPOSICIÓN Y DENSIDAD DE AVES EN MONTES RIBEREÑOS DE LA REGIÓN TACNA 2009."
"Chordeiles acutipennis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2013;"Horacio Zeballos Patrón.";"ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO."
"Systellura longirostris";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Systellura longirostris";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Systellura longirostris";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Systellura longirostris";"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN";2014;"Romina Venturia Candia.";"Diversidad y Habitat de la comunidad Ornitológica de la Quebrad de Tacahuay de la Región Tacna"
"Systellura longirostris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"AVIFAUNA DEL TILLANDSIAL EN LA REGIÓN TACNA. "
"Systellura longirostris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2013;"Horacio Zeballos Patrón.";"ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO."
"Systellura longirostris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2010;"Romina Venturia Candia.";"AVIFAUNA E IMPACTO ANTRÓPICO EN RELICTOS DE QUEÑUAS EN LA REGIÓN TACNA."
"Hesperoburhinus superciliaris";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Hesperoburhinus superciliaris";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Hesperoburhinus superciliaris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2014;"Richard Lazo Ramos.";"ESTUDIO DE LA ESTRUCTURA COMUNITARIA, FUNCIÓN ECOFISIOLÓGICA, RED TRÓFICA Y PROPUESTA DE CONSERVACIÓN DEL TILLANDSIAL DE TACNA."
"Hesperoburhinus superciliaris";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA COMPOSICIÓN Y DENSIDAD DE AVES EN MONTES RIBEREÑOS DE LA REGIÓN TACNA 2009."
"Anarhynchus alticola";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Anarhynchus alticola";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Anarhynchus alticola";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Anarhynchus alticola";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Anarhynchus alticola";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Anarhynchus collaris";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Anarhynchus collaris";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Zonibyx modestus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Anarhynchus nivosus";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Anarhynchus nivosus";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Anarhynchus nivosus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Anarhynchus nivosus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Charadrius semipalmatus";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Charadrius semipalmatus";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Charadrius semipalmatus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Charadrius vociferus";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Charadrius vociferus";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Charadrius vociferus";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Charadrius vociferus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Charadrius vociferus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Oreopholus ruficollis";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Oreopholus ruficollis";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Phegornis mitchellii";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2010;"Romina Venturia Candia.";"IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"Pluvialis dominica";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Pluvialis dominica";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Pluvialis dominica";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Pluvialis dominica";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Pluvialis dominica";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Pluvialis squatarola";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Pluvialis squatarola";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Pluvialis squatarola";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Vanellus resplendens";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Vanellus resplendens";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Vanellus resplendens";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Vanellus resplendens";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Vanellus resplendens";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Vanellus resplendens";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2010;"Romina Venturia Candia.";"IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"Haematopus ater";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Haematopus ater";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Haematopus palliatus";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Haematopus palliatus";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Chlidonias niger";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Chlidonias niger";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Chroicocephalus cirrocephalus";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Chroicocephalus cirrocephalus";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Chroicocephalus cirrocephalus";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Chroicocephalus cirrocephalus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
