SCIENTIFIC NAME,SPANISH NAME
Arenaria interpres,Ruddy Turnstone Vuelvepiedras Rojizo
Calidris canutus,Red Knot Playero de Pecho Rufo
Calidris virgata,Surfbird Chorlo de las Rompientes
Calidris pugnax,Ruff (♂) or Reeve (♀) Playero Combatiente
Calidris himantopus,Stilt Sandpiper Playero de Pata Larga
Calidris ferruginea,Curlew Sandpiper Playero Zarapito
Calidris alba,Sanderling Playero Arenero
Calidris alpina,Dunlin Playero de Vientre Negro
Calidris bairdii,Baird’s Sandpiper Playerito de Baird
Calidris minutilla,Least Sandpiper Playerito Menudo
Calidris fuscicollis,White-rumped Sandpiper Playerito de Lomo Blanco
Calidris subruficollis,Buff-breasted Sandpiper Playero Acanelado
Calidris melanotos,Pectoral Sandpiper Playero Pectoral
Calidris pusilla,Semipalmated Sandpiper Playerito Semipalmado
Calidris mauri,Western Sandpiper Playerito Occidental
Limnodromus griseus,Short-billed Dowitcher Agujeta de Pico Corto
Limnodromus scolopaceus,Long-billed Dowitcher Agujeta de Pico Largo
Gallinago imperialis,Imperial Snipe Becasina Imperial
Gallinago jamesoni,Jameson’s Snipe Becasina de Jameson
Gallinago nobilis,Noble Snipe Becasina Paramera
Gallinago undulata,Giant Snipe Becasina Gigante
Gallinago paraguaiae,Pantanal Snipe Becasina del Pantanal
Gallinago andina,Puna Snipe Becasina de la Puna
Phalaropus tricolor,Wilson’s Phalarope Faláropo Tricolor
Phalaropus lobatus,Red-necked Phalarope Faláropo de Pico Fino
Phalaropus fulicarius,Red Phalarope Faláropo de Pico Grueso
Actitis macularius,Spotted Sandpiper Playero Coleador
Tringa solitaria,Solitary Sandpiper Playero Solitario
Tringa incana,Wandering Tattler Playero Vagabundo
Tringa melanoleuca,Greater Yellowlegs Playero Pata Amarilla Mayor
Tringa semipalmata,Willet Playero de Ala Blanca
Tringa flavipes,Lesser Yellowlegs Playero Pata Amarilla Menor
Attagis gayi,Rufous-bellied Seedsnipe Agachona de Vientre Rufo
Thinocorus orbignyianus,Gray-breasted Seedsnipe Agachona de Pecho Gris
Thinocorus rumicivorus,Least Seedsnipe Agachona Chica
Jacana jacana,Wattled Jacana Gallito de Agua de Frente Roja
Stercorarius chilensis,Chilean Skua Salteador Chileno
Stercorarius maccormicki,South Polar Skua Salteador del Polo Sur
Stercorarius pomarinus,Pomarine Jaeger Salteador Pomarino
Stercorarius parasiticus,Parasitic Jaeger Salteador Parásito
Stercorarius longicaudus,Long-tailed Jaeger Salteador de Cola Larga
Rynchops niger,Black Skimmer Rayador NegroFamily STERCORARIIDAE: Skuas and Jaegers / Salteadores
Creagrus furcatus,Swallow-tailed Gull Gaviota Tijereta
Rissa tridactyla,Black-legged Kittiwake Gaviota Tridáctila
Xema sabini,Sabine’s Gull Gaviota de Sabine
Chroicocephalus serranus,Andean Gull Gaviota Andina
Chroicocephalus maculipennis,Brown-hooded Gull Gaviota de Capucha Café
Chroicocephalus cirrocephalus,Gray-hooded Gull Gaviota de Capucha Gris
Leucophaeus modestus,Gray Gull Gaviota Gris
Leucophaeus atricilla,Laughing Gull Gaviota Reidora
